"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sat Jun 29 22:15:19 GMT 2024","Sat Jun 29 22:15:19 GMT 2024","10","Surefire suite","Surefire test","TestTest","TestTest","test","test",""
"unknown","Sat Jun 29 22:15:19 GMT 2024","Sat Jun 29 22:15:19 GMT 2024","2","Surefire suite","Surefire test","TestTest","TestTest","testFail","testFail",""
